,evs,mae,intercept,coefficient
AdultWeekday,0.5795536474808596,7.65856110354504,56.53179069177474,9.595573232480879
vertical_drop,0.5795536474808596,7.65856110354504,56.53179069177474,3.4074914450650433
averageSnowfall,0.5795536474808596,7.65856110354504,56.53179069177474,2.5159340778497357
SkiableTerrain_ac,0.5795536474808596,7.65856110354504,56.53179069177474,2.35201433133956
quad,0.5795536474808596,7.65856110354504,56.53179069177474,1.6705519114823275
daysOpenLastYear,0.5795536474808596,7.65856110354504,56.53179069177474,1.6394331592111344
clusters,0.5795536474808596,7.65856110354504,56.53179069177474,1.581834378295345
Snow Making_ac,0.5795536474808596,7.65856110354504,56.53179069177474,1.3195424960975848
total_chairs,0.5795536474808596,7.65856110354504,56.53179069177474,1.2483828974338895
triple,0.5795536474808596,7.65856110354504,56.53179069177474,1.1846526389484289
projectedDaysOpen,0.5795536474808596,7.65856110354504,56.53179069177474,1.1588081292574186
TerrainParks,0.5795536474808596,7.65856110354504,56.53179069177474,1.0623306578358398
LongestRun_mi,0.5795536474808596,7.65856110354504,56.53179069177474,1.0056832078988904
double,0.5795536474808596,7.65856110354504,56.53179069177474,0.9566282071800964
yearsOpen,0.5795536474808596,7.65856110354504,56.53179069177474,0.7435885012929531
